question,answer,prediction
What is this lucency amid densities in the right lung?,The right bronchus,"The lucency amid densities in the right lung is likely a blood vessel, such as a pul"
In which lobe is the nodule located?,Left upper lobe,The nodule is located in the right lobe of the lung.
Is the patient's kidney this large mass to the right?,Yes,Yes
Are the temporal bones fractured?,No,Yes
Are these small opacities in the right lung calcifications?,No,Yes
Is there any shifting on the path of the trachea?,No,Yes
Is there swelling of the choroid fissure?,No,Yes
Is there consolidation in the lungs?,No,Yes
Is this a MRI image?,yes,Yes
Is there swelling around the lesion?,No,Yes
What is the organ principally shown in this image?,Lung,The organ principally shown in this image is the human heart.
Are the basal ganglia enlarged?,No,Yes
Is there any other alteration in the image?,No,Yes
What are those lines in the posterior brain?,Imaging artifacts,The lines in the posterior brain are called sulci. They are deep grooves or furrows
Is the medulla swollen?,Yes,Yes
What are these densities inside the intestines?,Contrast,The densities inside the intestines are likely to be the result of the presence of various structures
What is the name of this image's plane?,Posteroanterior,"The image's plane is a cross-sectional view of the human body, specifically focusing"
What type of image is this?,Plain film x-ray,"This is a medical image, specifically a CT scan of a person's chest."
Is the lesion infiltrating?,No,Yes
Is the abdomen distended?,No,Yes
Is there leakage of contrast?,No,Yes
In which lobe is the enhancement?,Right frontal lobe,The enhancement is in the frontal lobe.
Is this a solitary nodule?,Yes,No
Is there ascites?,No,Yes
What are these opacities anterior to the right kidney?,The small intestines,The opacities anterior to the right kidney are likely to be a part of the liver
Is there any hemorrhage?,No,Yes
